,address,description,sqft,lot_size,bedrooms,bathrooms,half_baths,sale_price
36,"209 Fir StreetGarden City, MO 64747",3Bedrms1Full Bath(s)1Half Bath(s)863SqftBuilt in1915Single Family,863,0.2,3,1,1,72000
37,"614 C StreetBelton, MO 64012",2Bedrms1Full Bath(s)0Half Bath(s)675SqftBuilt in1930Single Family,675,0.2,2,1,0,73000
38,"305 Catron AvenueBelton, MO 64012",3Bedrms2Full Bath(s)0Half Bath(s)912SqftBuilt in1952Single Family,912,0.2,3,2,0,75000
39,"504 W 5th CourtPeculiar, MO 64078","3Bedrms1Full Bath(s)0Half Bath(s)1,263SqftBuilt in1981Single Family",1263,0.2,3,1,0,75000
40,"210 Spruce StreetGarden City, MO 64747",2Bedrms1Full Bath(s)0Half Bath(s)840SqftBuilt in1925Single Family,840,0.2,2,1,0,75000
41,"204 S JeffersonEast Lynne, MO 64743","3Bedrms3Full Bath(s)0Half Bath(s)1,675SqftBuilt in19890.42AcresSingle Family",1675,0.42,3,3,0,76000
42,"16013 Eastern AvenueBelton, MO 64012",2Bedrms1Full Bath(s)0Half Bath(s)816SqftBuilt in1960Single Family,816,0.2,2,1,0,76000
43,"320 E Maple StreetDrexel, MO 64742","3Bedrms1Full Bath(s)0Half Bath(s)1,484SqftBuilt in1960Single Family",1484,0.2,3,1,0,76000
44,"17406 Chestnut StreetBelton, MO 64012","3Bedrms1Full Bath(s)1Half Bath(s)1,200SqftBuilt in1960Single Family",1200,0.2,3,1,1,77000
45,"912 2nd StreetBelton, MO 64012",3Bedrms1Full Bath(s)0Half Bath(s)971SqftBuilt in1948Single Family,971,0.2,3,1,0,77500
46,"8405 Heron DriveFreeman, MO 64746",2Bedrms1Full Bath(s)0Half Bath(s)888SqftBuilt in1965Single Family,888,0.2,2,1,0,78400
47,"16101 Hinkle AvenueBelton, MO 64012",2Bedrms1Full Bath(s)0Half Bath(s) 1072sqftBuilt in1978.36acresSingle Family,1072,0.56,2,1,0,78645
48,"503 Gum StreetGarden City, MO 64747","3Bedrms2Full Bath(s)0Half Bath(s)1,064SqftBuilt in1989Single Family",1064,0.2,3,2,0,80000
49,"802 S Ash StreetGarden City, MO 64747","3Bedrms1Full Bath(s)0Half Bath(s)1,080SqftBuilt in1979Single Family",1080,0.2,3,1,0,80000
50,"204 Chappell DrivePleasant Hill, MO 64080","3Bedrms2Full Bath(s)0Half Bath(s)1,236SqftBuilt in1963Single Family",1236,0.2,3,2,0,80000
51,"2203 Addie DrivePleasant Hill, MO 64080","3Bedrms2Full Bath(s)0Half Bath(s)1,106SqftBuilt in2005Single Family",1106,0.2,3,2,0,81000
52,"306 W Walnut StreetArchie, MO 64725",2Bedrms1Full Bath(s)0Half Bath(s)791SqftBuilt in1930Single Family,791,0.2,2,1,0,83500
53,"117 Brian AvenueBelton, MO 64012","3Bedrms1Full Bath(s)0Half Bath(s)1,066Sqft0AcresSingle Family",1066,0.2,3,1,0,83500
54,"120 N McKissock StreetPleasant Hill, MO 64080",2Bedrms1Full Bath(s)0Half Bath(s)725SqftSingle Family,725,0.2,2,1,0,84000
55,"405 E Pearl StreetHarrisonville, MO 64701","2Bedrms1Full Bath(s)1Half Bath(s)1,210SqftBuilt in1945Single Family",1210,0.2,2,1,1,85000
56,"505 Silverado TrailBelton, MO 64012","2Bedrms1Full Bath(s)0Half Bath(s)1,676SqftBuilt in1960Single Family",1676,0.25,2,1,0,85000
57,"1002 Eastwood RoadHarrisonville, MO 64701","3Bedrms1Full Bath(s)0Half Bath(s)1,169SqftBuilt in1957Single Family",1169,0.2,3,1,0,85000
58,"203 S Washington StreetRaymore, MO 64083",2Bedrms1Full Bath(s)0Half Bath(s)978SqftBuilt in19000.4AcresSingle Family,978,0.4,2,1,0,86000
59,"17120 Chula Vista DriveBelton, MO 64012",2Bedrms1Full Bath(s)0Half Bath(s)720SqftBuilt in1960Single Family,720,0.2,2,1,0,86500
60,"307 3rd StreetBelton, MO 64012","3Bedrms1Full Bath(s)0Half Bath(s)1,448SqftBuilt in1900Single Family",1448,0.2,3,1,0,86735
61,"21523 S Dillon RoadPleasant Hill, MO 64080","3Bedrms2Full Bath(s)0Half Bath(s)2,332SqftBuilt in19105AcresSingle Family",2332,5,3,2,0,87000
62,"22505 S Airport RoadPleasant Hill, MO 64080","4Bedrms1Full Bath(s)1Half Bath(s)1,753SqftBuilt in19002.41AcresSingle Family",1753,2.4,4,1,1,87500
63,"904 Edgevale TerraceHarrisonville, MO 64701",2Bedrms1Full Bath(s)0Half Bath(s)960SqftBuilt in1951Single Family,960,0.2,2,1,0,88500
64,"304 Lacy LaneBelton, MO 64012","3Bedrms1Full Bath(s)0Half Bath(s)1,225SqftSingle Family",1225,0.2,3,1,0,90000
65,"930 E Oak StreetPleasant Hill, MO 64080","3Bedrms2Full Bath(s)0Half Bath(s)1,056SqftBuilt in1994Single Family",1056,0.2,3,2,0,90000
66,"305 W Washington StreetHarrisonville, MO 64701","3Bedrms2Full Bath(s)0Half Bath(s)1,686SqftBuilt in1930Single Family",1686,0.25,3,2,0,90000
67,"508 Lions Drive #167Peculiar, MO 64078","3Bedrms1Full Bath(s)1Half Bath(s)1,008SqftBuilt in1983Single Family",1008,0.2,3,1,1,90000
68,"1101 N Jerry AvenueRaymore, MO 64083","3Bedrms2Full Bath(s)0Half Bath(s)1,248SqftBuilt in19811.1AcresSingle Family",1248,1.1,3,2,0,91000
69,"416 A StreetCreighton, MO 64739","3Bedrms1Full Bath(s)1Half Bath(s)1,108Sqft1.31AcresSingle Family",1108,1.3,3,1,1,91000
70,"201 N Ohio StreetArchie, MO 64725",2Bedrms1Full Bath(s)0Half Bath(s)832SqftBuilt in1945Single Family,832,0.2,2,1,0,92000
71,"903 2nd StreetBelton, MO 64012",2Bedrms1Full Bath(s)0Half Bath(s)952SqftBuilt in1940Single Family,952,0.2,2,1,0,92500
72,"38608 E Gunn City RoadGarden City, MO 64747","4Bedrms2Full Bath(s)0Half Bath(s)2,081SqftBuilt in19945AcresSingle Family",2081,5,4,2,0,94900
73,"17104 Monte Verde DriveBelton, MO 64012",3Bedrms1Full Bath(s)0Half Bath(s)760SqftBuilt in1957Single Family,760,0.2,3,1,0,95000
74,"304 Baldwin StreetBelton, MO 64012",3Bedrms1Full Bath(s)1Half Bath(s)888SqftBuilt in1955Single Family,888,0.2,3,1,1,95000
75,"101 S F HighwayGarden City, MO 64747","4Bedrms1Full Bath(s)0Half Bath(s)1,008SqftSingle Family",1008,0.2,4,1,0,95000
76,"37107 E 179th StreetPleasant Hill, MO 64080","3Bedrms2Full Bath(s)0Half Bath(s)1,296SqftBuilt in1964Single Family",1296,0.2,3,2,0,95000
77,"219 N Randolph StreetPleasant Hill, MO 64080","2Bedrms2Full Bath(s)0Half Bath(s)2,048SqftSingle Family",2048,0.35,2,2,0,95000
78,"3 Eavey CircleHarrisonville, MO 64701","2Bedrms1Full Bath(s)0Half Bath(s)1,544SqftBuilt in1955Single Family",1544,0.25,2,1,0,97000
79,"16005 Speaker AvenueBelton, MO 64012",3Bedrms2Full Bath(s)0Half Bath(s) 1664sqftBuilt in1972.35AcresSingle Family,1664,0.35,3,2,0,97500
80,"700 West StreetHarrisonville, MO 64701",2Bedrms1Full Bath(s)0Half Bath(s)884SqftBuilt in19000.25AcresSingle Family,884,0.25,2,1,0,97900
81,"703 Green StreetHarrisonville, MO 64701","2Bedrms2Full Bath(s)0Half Bath(s)1,232SqftBuilt in1940Single Family",1232,0.2,2,2,0,98000
82,"507 Margaret LaneBelton, MO 64012",2Bedrms1Full Bath(s)1Half Bath(s)912SqftSingle Family,912,0.2,2,1,1,99000
83,"604 Jennifer LaneGarden City, MO 64747","3Bedrms1Full Bath(s)1Half Bath(s)1,400SqftBuilt in1973Single Family",1400,0.2,3,1,1,99800
84,"17249 Chestnut DriveBelton, MO 64012",4Bedrms1Full Bath(s)0Half Bath(s)912SqftBuilt in1980Single Family,912,0.2,4,1,0,100000
85,"104 W 4th StreetFreeman, MO 64746",2Bedrms1Full Bath(s)0Half Bath(s)791SqftBuilt in19500.39AcresSingle Family,791,0.39,2,1,0,100000
86,"302 N Jeffreys StreetPleasant Hill, MO 64080","4Bedrms1Full Bath(s)0Half Bath(s)1,692SqftBuilt in1883Single Family",1692,0.25,4,1,0,101500
87,"305 Spruce StreetGarden City, MO 64747","2Bedrms1Full Bath(s)0Half Bath(s)1,100SqftBuilt in1930Single Family",1100,0.2,2,1,0,102000
88,"102 Holden StreetEast Lynne, MO 64743","4Bedrms2Full Bath(s)0Half Bath(s)1,508SqftBuilt in19350.28AcresSingle Family",1508,0.28,4,2,0,102500
89,"34411 S Butcher RoadArchie, MO 64725","1Bedrms1Full Bath(s)0Half Bath(s)1,220SqftBuilt in19825AcresSingle Family",1220,5,1,1,0,103000
90,"400 N Harrison StreetFreeman, MO 64746","2Bedrms1Full Bath(s)0Half Bath(s)1,327SqftBuilt in19000.35AcresSingle Family",1327,0.35,2,1,0,103000
91,"709 S Oakland StreetHarrisonville, MO 64701",3Bedrms2Full Bath(s)0Half Bath(s)928SqftBuilt in1915Single Family,928,0.2,3,2,0,103000
92,"1403 Blueberry DriveHarrisonville, MO 64701","3Bedrms2Full Bath(s)0Half Bath(s)1,490SqftBuilt in1970Single Family",1490,0.2,3,2,0,103000
93,"400 E Chestnut StreetHarrisonville, MO 64701","2Bedrms2Full Bath(s)0Half Bath(s)1,224SqftBuilt in19130.3AcresSingle Family",1224,0.3,2,2,0,105000
94,"210 N Ohio StreetArchie, MO 64725",2Bedrms1Full Bath(s)0Half Bath(s)988SqftBuilt in19790.34AcresSingle Family,988,0.34,2,1,0,105000
95,"201 Gale StreetBelton, MO 64012","3Bedrms2Full Bath(s)1Half Bath(s)1,675SqftBuilt in19550.28AcresSingle Family",1675,0.28,3,2,1,105000
96,"31900 S McClain RoadHarrisonville, MO 64701","3Bedrms2Full Bath(s)0Half Bath(s)1,232SqftBuilt in199320.31AcresSingle Family",1232,0.31,3,2,0,105000
97,"17605 Montgall DriveBelton, MO 64012","3Bedrms1Full Bath(s)1Half Bath(s)1,152SqftBuilt in1960Single Family",1152,0.2,3,1,1,106500
98,"507 3 StreetBelton, MO 64012",2Bedrms1Full Bath(s)0Half Bath(s)896SqftBuilt in1918Single Family,896,0.2,2,1,0,107000
99,"105 E South StreetHarrisonville, MO 64701",2Bedrms1Full Bath(s)0Half Bath(s)684SqftBuilt in1955Single Family,684,0.2,2,1,0,107000
100,"207 Colony AvenueEast Lynne, MO 64743","3Bedrms2Full Bath(s)0Half Bath(s)1,276SqftBuilt in2003Single Family",1276,0.2,3,2,0,107000
101,"16105 Terry AvenueBelton, MO 64012",2Bedrms1Full Bath(s)0Half Bath(s)810SqftBuilt in19780.34AcresSingle Family,810,0.34,2,1,0,107700
102,"34809 E 315th StreetGarden City, MO 64747","3Bedrms2Full Bath(s)0Half Bath(s)1,404SqftBuilt in20004.7AcresSingle Family",1404,4.7,3,2,0,108000
103,"309 Grand StreetBelton, MO 64012","3Bedrms2Full Bath(s)0Half Bath(s)1,352SqftBuilt in1960Single Family",1352,0.2,3,2,0,108150
104,"17205 Chula Vista DriveBelton, MO 64012","3Bedrms1Full Bath(s)0Half Bath(s)1,530SqftBuilt in19610.46AcresSingle Family",1530,0.46,3,1,0,108600
105,"1700 Lee LanePleasant Hill, MO 64080","3Bedrms1Full Bath(s)1Half Bath(s)1,080SqftBuilt in1960Single Family",1080,0.2,3,1,1,109000
106,"105 W 4th StreetPeculiar, MO 64078","3Bedrms2Full Bath(s)0Half Bath(s)1,008SqftBuilt in1985Single Family",1008,0.2,3,2,0,109300
107,"408 Lexington RoadPleasant Hill, MO 64080","3Bedrms2Full Bath(s)1Half Bath(s)1,152SqftBuilt in1960Single Family",1152,0.2,3,2,1,109500
108,"1808 Parkwood DriveHarrisonville, MO 64701","3Bedrms2Full Bath(s)0Half Bath(s)1,546SqftSingle Family",1546,0.25,3,2,0,109900
109,"304 Grand StreetBelton, MO 64012","3Bedrms2Full Bath(s)0Half Bath(s)1,352SqftBuilt in1960Single Family",1352,0.2,3,2,0,109900
110,"200 N Lake AvenueHarrisonville, MO 64701",2Bedrms1Full Bath(s)0Half Bath(s)954SqftBuilt in1950Single Family,954,0.2,2,1,0,110000
111,"313 N Jeffreys StreetPleasant Hill, MO 64080","2Bedrms1Full Bath(s)0Half Bath(s)1,120SqftBuilt in1900Single Family",1120,0.2,2,1,0,110000
112,"302 S Washington StreetRaymore, MO 64083","2Bedrms1Full Bath(s)0Half Bath(s)1,107SqftBuilt in1951Single Family",1107,0.2,2,1,0,110000
113,"112 Monroe AvenueBelton, MO 64012","3Bedrms2Full Bath(s)0Half Bath(s)1,242SqftBuilt in1978Single Family",1242,0.2,3,2,0,110000
114,"207 Brookside DriveBelton, MO 64012","3Bedrms2Full Bath(s)0Half Bath(s)1,112SqftBuilt in1963Single Family",1112,0.2,3,2,0,110000
115,"34100 E 189th StreetPleasant Hill, MO 64080","3Bedrms2Full Bath(s)0Half Bath(s)1,320SqftBuilt in19925AcresSingle Family",1320,5,3,2,0,110000
116,"704 N 3rd StreetDrexel, MO 64742","3Bedrms1Full Bath(s)1Half Bath(s)1,316SqftBuilt in1966Single Family",1316,0.2,3,1,1,110000
117,"505 N Prairie LaneRaymore, MO 64083","3Bedrms2Full Bath(s)0Half Bath(s)1,344Sqft3AcresSingle Family",1344,3,3,2,0,110000
118,"200 Westside DriveBelton, MO 64012","3Bedrms2Full Bath(s)0Half Bath(s)1,580SqftBuilt in19600.23AcresSingle Family",1580,0.23,3,2,0,112000
119,"206 N Taylor StreetPleasant Hill, MO 64080","3Bedrms1Full Bath(s)0Half Bath(s)1,250SqftBuilt in1883Single Family",1250,0.2,3,1,0,112000
120,"423 E Ash StreetDrexel, MO 64742","3Bedrms2Full Bath(s)0Half Bath(s)1,218SqftBuilt in1965Single Family",1218,0.2,3,2,0,112000
121,"1807 Stacy RoadHarrisonville, MO 64701","3Bedrms1Full Bath(s)0Half Bath(s)1,004SqftBuilt in1990Single Family",1004,0.2,3,1,0,112500
122,"110 Short StreetGarden City, MO 64747","3Bedrms1Full Bath(s)1Half Bath(s)2,352SqftBuilt in1989Single Family",2352,0.35,3,1,1,113000
123,"15805 Kay AvenueBelton, MO 64012",2Bedrms1Full Bath(s)0Half Bath(s)982SqftBuilt in1965Single Family,982,0.2,2,1,0,114500
124,"16011 Vicie AvenueBelton, MO 64012","3Bedrms1Full Bath(s)0Half Bath(s)1,212SqftBuilt in1977Single Family",1212,0.2,3,1,0,114900
125,"401 Park AvenueBelton, MO 64012","3Bedrms1Full Bath(s)0Half Bath(s)1,200SqftBuilt in19620.28AcresSingle Family",1200,0.28,3,1,0,115000
126,"908 Locust StreetPleasant Hill, MO 64080",2Bedrms1Full Bath(s)1Half Bath(s)837SqftBuilt in1960Single Family,837,0.2,2,1,1,115000
127,"712 Harvey StreetHarrisonville, MO 64701","3Bedrms1Full Bath(s)0Half Bath(s)1,037SqftBuilt in1994Single Family",1037,0.2,3,1,0,115000
128,"1708 Delmar StreetHarrisonville, MO 64701","3Bedrms2Full Bath(s)0Half Bath(s)1,004SqftBuilt in1989Single Family",1004,0.2,3,2,0,115000
129,"17217 Cerrito DriveBelton, MO 64012","2Bedrms1Full Bath(s)0Half Bath(s)1,218SqftBuilt in1955Single Family",1218,0.2,2,1,0,115000
130,"116 N Campbell StreetPleasant Hill, MO 64080","3Bedrms1Full Bath(s)0Half Bath(s)1,657SqftBuilt in19250.17AcresSingle Family",1657,0.1,3,1,0,115000
131,"17230 Montgall DriveBelton, MO 64012","3Bedrms1Full Bath(s)0Half Bath(s)1,228SqftBuilt in19600.49AcresSingle Family",1228,0.49,3,1,0,115000
132,"204 Brookview DriveBelton, MO 64012",3Bedrms1Full Bath(s)1Half Bath(s)989SqftBuilt in1959Single Family,989,0.2,3,1,1,115000
133,"33921 Main City RoadDrexel, MO 64742","2Bedrms1Full Bath(s)0Half Bath(s)1,192SqftBuilt in19206AcresSingle Family",1192,6,2,1,0,115000
134,"507 Lexington RoadPleasant Hill, MO 64080",3Bedrms1Full Bath(s)0Half Bath(s)952SqftBuilt in19050.5AcresSingle Family,952,0.5,3,1,0,116000
135,"17210 Cerrito DriveBelton, MO 64012","3Bedrms1Full Bath(s)1Half Bath(s)1,044SqftBuilt in1955Single Family",1044,0.2,3,1,1,118000
136,"435 E Hickory StreetDrexel, MO 64742","3Bedrms1Full Bath(s)0Half Bath(s)1,141SqftBuilt in1962Single Family",1141,0.2,3,1,0,118500
137,"206 S Texas StreetArchie, MO 64725","3Bedrms1Full Bath(s)0Half Bath(s)1,014SqftBuilt in1961Single Family",1014,0.2,3,1,0,118500
138,"405 Ranchero PlaceBelton, MO 64012","3Bedrms2Full Bath(s)0Half Bath(s)1,800SqftBuilt in1960Single Family",1800,0.25,3,2,0,119000
139,"201 Lillard AvenueBelton, MO 64012",2Bedrms1Full Bath(s)0Half Bath(s)920SqftBuilt in1953Single Family,920,0.2,2,1,0,119000
140,"700 W Mechanic StreetHarrisonville, MO 64701",2Bedrms1Full Bath(s)0Half Bath(s)882SqftBuilt in1930Single Family,882,0.2,2,1,0,119900
141,"502 E Main StreetFreeman, MO 64746","3Bedrms2Full Bath(s)0Half Bath(s)1,688SqftBuilt in1950Single Family",1688,0.25,3,2,0,120000
142,"107 Main StreetBelton, MO 64012","2Bedrms1Full Bath(s)0Half Bath(s)1,120SqftBuilt in1940Single Family",1120,0.2,2,1,0,120000
143,"410 E Elm StreetDrexel, MO 64742","3Bedrms1Full Bath(s)0Half Bath(s)1,608SqftBuilt in19580AcresSingle Family",1608,0.38,3,1,0,120000
144,"1003 Stafford DrivePleasant Hill, MO 64080","3Bedrms1Full Bath(s)1Half Bath(s)1,968SqftBuilt in1960Single Family",1968,0.25,3,1,1,120000
145,"304 Clearview DrivePleasant Hill, MO 64080","2Bedrms1Full Bath(s)0Half Bath(s)1,060SqftBuilt in1958Single Family",1060,0.2,2,1,0,120000
146,"110 Melody LaneBelton, MO 64012","3Bedrms1Full Bath(s)0Half Bath(s)1,180SqftBuilt in1960Single Family",1180,0.2,3,1,0,120000
147,"2605 Easton StreetHarrisonville, MO 64701","3Bedrms1Full Bath(s)0Half Bath(s)1,028SqftBuilt in1987Single Family",1028,0.2,3,1,0,120000
148,"1402 Eastwood RoadHarrisonville, MO 64701","3Bedrms1Full Bath(s)0Half Bath(s)1,028SqftBuilt in1971Single Family",1028,0.2,3,1,0,120000
149,"102 Nanette StreetBelton, MO 64012","3Bedrms2Full Bath(s)0Half Bath(s)1,350SqftBuilt in1973Single Family",1350,0.2,3,2,0,121000
150,"202 N Texas StreetArchie, MO 64725","3Bedrms3Full Bath(s)0Half Bath(s)1,262SqftBuilt in19980.3AcresSingle Family",1262,0.3,3,3,0,122000
151,"16102 Hinkle AvenueBelton, MO 64012","3Bedrms2Full Bath(s)0Half Bath(s)1,680SqftBuilt in19890.35AcresSingle Family",1680,0.35,3,2,0,122000
152,"10607 E Hillcrest StreetPeculiar, MO 64078","3Bedrms2Full Bath(s)0Half Bath(s)1,734SqftBuilt in1965Single Family",1734,0.25,3,2,0,122000
153,"405 Beech StreetGarden City, MO 64747","3Bedrms2Full Bath(s)0Half Bath(s)1,475SqftBuilt in1899Single Family",1475,0.2,3,2,0,122250
154,"1202 Blueberry DriveHarrisonville, MO 64701","3Bedrms1Full Bath(s)1Half Bath(s)2,362SqftBuilt in1972Single Family",2362,0.35,3,1,1,122500
155,"12101 E 211th StreetPeculiar, MO 64078","3Bedrms2Full Bath(s)0Half Bath(s)3,296SqftBuilt in19630.98AcresSingle Family",3296,0.98,3,2,0,122850
156,"500 Benton StreetPleasant Hill, MO 64080",3Bedrms1Full Bath(s)0Half Bath(s)936SqftBuilt in1964Single Family,936,0.2,3,1,0,123250
157,"202 Pacific DriveBelton, MO 64012","3Bedrms1Full Bath(s)0Half Bath(s)1,288SqftBuilt in1962Single Family",1288,0.2,3,1,0,123800
158,"600 E 2nd StreetCreighton, MO 64739","3Bedrms2Full Bath(s)0Half Bath(s)1,586SqftBuilt in1961.5AcresSingle Family",1586,0.5,3,2,0,124000
159,"312 Baldwin StreetBelton, MO 64012",3Bedrms1Full Bath(s)1Half Bath(s)944SqftBuilt in1953Single Family,944,0.2,3,1,1,124000
160,"305 BaldwinBelton, MO 64012","3Bedrms1Full Bath(s)0Half Bath(s)1,112SqftBuilt in19500.19AcresSingle Family",1112,0.19,3,1,0,124000
161,"105 Sharon LaneGarden City, MO 64747","3Bedrms1Full Bath(s)0Half Bath(s)1,152SqftBuilt in1984Single Family",1152,0.2,3,1,0,124000
162,"601 Commercial StreetBelton, MO 64012","1Bedrms1Full Bath(s)0Half Bath(s)1,906SqftBuilt in1890Single Family",1906,0.25,1,1,0,124650
163,"112 E Shady LaneHarrisonville, MO 64701","3Bedrms1Full Bath(s)0Half Bath(s)1,240SqftBuilt in1940Single Family",1240,0.2,3,1,0,124900
164,"1023 Brookside DriveRaymore, MO 64083","3Bedrms2Full Bath(s)1Half Bath(s)2,462SqftBuilt in1977Single Family",2462,0.35,3,2,1,125000
165,"105 E Kirk StreetHarrisonville, MO 64701","3Bedrms1Full Bath(s)0Half Bath(s)1,288Sqft0.23AcresSingle Family",1288,0.2,3,1,0,125000
166,"206 Eldorado DriveBelton, MO 64012",3Bedrms1Full Bath(s)0Half Bath(s)936SqftBuilt in1962Single Family,936,0.2,3,1,0,125000
167,"110 Manor DriveBelton, MO 64012",3Bedrms1Full Bath(s)0Half Bath(s)960SqftBuilt in19550.27AcresSingle Family,960,0.2,3,1,0,125000
168,"500 Jennifer LaneGarden City, MO 64747","4Bedrms1Full Bath(s)0Half Bath(s)1,380SqftBuilt in1970Single Family",1380,0.2,4,1,0,125000
